Ponto ,MoQA_id,Zona,Latitude,Longitude,Bairro,Referência,Localizador Google,Ticket MOB,Status (Monitor),Infraestrutura MOB,Status (Transmissão),
1,EDA13C,Norte,"-3,7240647093","-38,5832647310",Jardim Iracema,Av. Major Assis x Rua Alberto Ferreira ,https://maps.app.goo.gl/A3N1ejUgVE9bB9qK8,17072023-99609,Instalado,Concluído,Transmitindo (MOB),EDA13C
2,DD56F0,Norte,"-3,7188732643","-38,5160624131",Praia de Iracema,Rua Tremembés (CITINOVA),https://maps.app.goo.gl/LVnNScoxei2jXTBP8,22042024-14615,Instalado,Concluído,Transmitindo (MOB),DD56F0
3,DD34F0,Norte,"-3,7118262811","-38,5557814895",Carlito Pamplona,Leste  Oeste (EMEF Hilberto Silva),https://maps.app.goo.gl/XRJm32quHdo2HxuF9,24042024-56066,Instalado,Concluído,Transmitindo (MOB),DD34F0
4,DD31EC,Norte,"-3,7239831405","-38,4803412726",Mucuripe,Av. Almirante Henrique Sabóia (Via Expressa),https://maps.app.goo.gl/vZE7HsAmQgfu4SVr5,24042024-11955,Instalado,Concluído,Transmitindo (MOB),Mucuripe;
5,A5BBFC,Norte,"-3,7184184285","-38,4657547657",Cais do Porto,Av. José Sabóia (EMEIF Godofredo de Castro Filho),https://maps.app.goo.gl/juV1pRmvXmRhhgX29,22042024-19110,Retirado para manutenção,Concluído,Transmitindo (MOB),
6,DC40AC,Norte,"-3,7332800839","-38,4969328803",Aldeota / Praça Portugal,Av. Dom Luís (Praça Portugal),https://maps.app.goo.gl/joVFPomWkhiK2tt5A,23042024-39567,Instalado,Concluído,Transmitindo (MOB),Pç Portugal;
7,DD2BA4,Norte,"-3,7259921915","-38,4951496246",Beira Mar,Av. Beira Mar X Av. Desembargador Moreira (Beira Mar),https://maps.app.goo.gl/kEK4TNpCbnzi7N2b7,24042024-84851,Instalado,Concluído,Transmitindo (MOB),DD2BA4
8,E4C790,Norte,"-3,7254479518","-38,5328288735",Centro / Praça da Lagoinha,Rua Guilherme Rocha X Avenida Tristão Gonçalves (Praça da Lagoinha),https://maps.app.goo.gl/Ns5KxPedTBaHRwTe9,23042024-46463,Instalado,Concluído,Transmitindo (MOB),Pç da Lagoinha;
9,DD3538,Norte,"-3,7518941899","-38,5263301274",Bairro de Fátima,Av. Treze de Maio (Igreja Nossa Sra. de Fátima),https://maps.app.goo.gl/ijysL4d6g6ouLyAo8,23042024-36734,Instalado,Concluído,Sem transmissão,13 de Maio;
10,E4D1F0,Norte,"-3,7314754889","-38,5451183098",Farias Brito,Av. José Jatahy X Av. Bezerra de Menezes (Farias Brito),https://maps.app.goo.gl/LaiWZMKKaeTNF7Ar6,17072023-15382,Instalado,Concluído,Sem transmissão,Farias Brito;
11,A70044,Sul,"-3,7843170989","-38,5804577379",Siqueira,Av. Osório de Paiva X Rua Lebom Maia (Siqueira),https://maps.app.goo.gl/ENnihEN4TVTiV1LH6,17072023-74444,Instalado,Concluído,Sem transmissão,Siqueira
12,4R4KPE,Sul,"-3,8289889818","-38,5904486976",Aracapé,"Rua Juvêncio Sales, S.N. (UAP Dr. João Elísio Holanda)",https://maps.app.goo.gl/J4jdaaThLab13ufm8,05042024-37317,Instalado,Concluído,Transmitindo (MOB),4R4KPE
13,DDCA1C,Sul,"-3,8284158071","-38,5567142228",José Walter,Avenida C X Avenida L (EMEIF Rachel de Queiroz),https://maps.app.goo.gl/CwgDjDG4DrPuLLak9,17072023-97145,Instalado,Concluído,Sem transmissão,José Walder;
14,RTY79H,Sul,"-3,7874546580","-38,5481186859",Itaperi,Avenida Bernardo Manuel X Avenida Dr. Silas Munguba (Itaperi),https://maps.app.goo.gl/SG1UC3fgoqiKbdeC9,05042024-22055,Não instalado,Concluído,Sem transmissão,
15,DD3468,Sul,"-3,8162646462","-38,5317918615",Passaré,Av. Pres. Juscelino Kubitschek X Av. dos Paroaras (Hospital Sarah),https://maps.app.goo.gl/YjcHVqXngJx4QJtL7,17072023-86343,Instalado,Concluído,Transmissão intermitente,Hospital Sarah;
16,DC663C,Norte,"-3,7252508528","-38,5237647110",Centro / Paço Municipal,Rua São José SN (Paço Municipal),https://maps.app.goo.gl/iSpr4gupxUqjcT6FA,23042024-46463,Não devolvido,Concluído,Sem transmissão,
17,DD32D4,Norte,"-3,7512012880","-38,5004997337",SCSP,Av. Pontes Vieira (SCSP),https://maps.app.goo.gl/oH2mEGu9vb9VW4cf9,24042024-98282,Retirado para manutenção,Concluído,Transmitindo (MOB),
18,M1SSJN,Sul,"-3,8316372460","-38,4938712270",Messejana,Rua Padre Pedro de Alencar X Rua Joaquim Bezerra (Messejana),https://maps.app.goo.gl/mEZYXxA7DJGu3oPz5,05042024-74261,Instalado,Concluído,Transmitindo (MOB),Messejana;
19,P1C1BJ,Norte,"-3,7388966279","-38,5694287772",Pici,Av. Humberto Monte (Campus do Pici UFC),https://maps.app.goo.gl/EuZ6QGLYvo93aCQu8,05042024-57071,Instalado,Concluído,Transmitindo (MOB),
20,X3TYO5,Áreas Verdes,"-3,7443786354","-38,4844917633",Parque do Cocó,"PARQUE ESTADUAL DO COCO (CALCADAO) - Av. Padre Antônio Tomás, s/n - Cocó",https://maps.app.goo.gl/4y2QTSvh1aDNheZP9,05042024-30857,Instalado,Concluído,Transmitindo (MOB),Cocó;
21,AV1CD2,Áreas Verdes,"-3,7485407566","-38,4715359405",CIDADE 2.000,Rua andrade Furtado (Proximo a delegacia/praça),https://maps.app.goo.gl/Gor639FwRa8fLoWC9,03042024-64455,Instalado,Concluído,Transmitindo (MOB),Cidade 2000;
22,AG4F3T,Áreas Verdes,"-3,7636808190","-38,5087589804",Aerolândia / Rotatória,AV. GOVERNADOR RAUL BARBOSA Nº 5112,https://maps.app.goo.gl/LZc7Ua72Erc9LLYA7,05042024-97596,Instalado,Concluído,Transmitindo (MOB),AG4F3T
23,DD2BDC,Áreas Verdes,"-3,7611160373","-38,5055325089",São João do Tauape,"Av. Governador Raul Barbosa, 900 - São João do Tauape, Fortaleza - CE, 60120-420 / Polo de Lazer Rachel Guimarães",https://maps.app.goo.gl/U8La3cRmC8jHNXcZ7,05042024-78200,Instalado,Concluído,Transmitindo (MOB),DD2BDC
24,AV2MDB,Áreas Verdes,"-3,7552630320","-38,4682493038",MANUEL DIAS BRANCO,"R. Zuca Accioly, 702 - Manuel Dias Branco, Fortaleza - CE, 60191-335",https://maps.app.goo.gl/j4JRsSH42YLLAXDD9,05042024-19237,Instalado,Concluído,Sem transmissão,Manoel Dias Branco;
25,Z3S59I,Áreas Verdes,"-3,7516547804","-38,4905685934",Cocó,"Av. Washington Soares, 4269 - Cocó",https://maps.app.goo.gl/kTKyGQWqzTJKNGtt6,03042024-39907,Instalado,Concluído,Transmitindo (MOB),
26,H45UY3,Áreas Verdes,"-3,7526309281","-38,4970636077",Dionísio Torres / Face de Cristo,RUA SANTA TEREZINHA DO MENINO JESUS E DA SAGRADA Nº 5125 (PRÓXIMO A FACE DE CRISTO),https://maps.app.goo.gl/m66ZJXBRXNbXsjsH8,05042024-48144,Instalado,Concluído,Transmitindo (MOB),H45UY3
27,AV3EQZ,Áreas Verdes,"-3,7612114150","-38,4785533595",EDSON QUEIROZ/CENTRO DE EVENTOS,ROTATORIA RUA FIRMINIO ROCHA AGUIAR 0000 - AV GOVERNADOR MANOEL DE CASTRO Nº 100,https://maps.app.goo.gl/brHH8tV3D1DjWtm78,03042024-16736,Instalado,Concluído,Transmitindo (MOB),
