,Log de Eventos,,,,
,Data,Evento,Locais,Descrição,Obs.
,16/05/23,Instalação,"CITINOVA, Iate clube, Náutico, Pç da lagoinha, Estação, SEUMA (Siqueira)
",Evento de lançamento,
,16/06/23,Instalação,MoQAs parte norte,Instalação com modems 4g,
,26/06/23,Instalação,MoQAs parte sul,Instalação com modems 4g,
,16/08/23,Instalação/Manutenção,MoQAs parte norte,"Atualização do cod., Subs. de chips
",
,22/08/23,Instalação/Manutenção,MoQAs parte sul,"Atualização do cod., Subs. de chips
",
,12/09/23,Instalação/Manutenção,MoQAs parte norte,Manutenção parte elétrica,
,19/09/23,Instalação,MoQAs parte norte,Atualização da parte elétrica,
,04/10/23,Instalação/Manutenção,MoQAs parte sul,Atualização da parte elétrica,
,10/11/23,Instalação/Manutenção,MoQAs parte norte,Atualização da parte elétrica,
,21/11/23,Visita,"Farias Brito , Vila Velha, Siqueira, José Walter, Hospital Sarah",Visita aos APs da MOB,Todos os pontos  ok
,13/12/23,Instalação,"Farias Brito , Vila Velha, Siqueira, José Walter, Hospital Sarah",Instalação dos MoQAs nos APs da MOB,Pontos em acompanhamento
,19/1/24,Instalação,"Praça da Lagoinha, SCSP, Praça Portugal, Cais do Porto",Instalação dos MoQAs Chip,Pontos em acompanhamento
,30/1/24,Instalação,"Igreja de Fátima, Leste Oeste, Beira Mar",Instalação dos MoQAs Chip,Pontos em acompanhamento/ Lançamento de cabo elétrico
,31/1/24,Instalação,Iate Plaza,Instalação dos MoQAs Chip,Pontos em acompanhamento/ Lançamento de cabo elétrico
,18/4/24,Instalação/Manutenção,"CITIONOVA, Leste Oeste, Iate Plaza,",Manutenção dos monitores e recarga dos chips,"Foram progamados 5 pontos de manutenção, mas os pontos da baira mar tinha uma equipe da cagece trabalhando e no cais do porto enquanto estávamos lá iniciou-se uma forte chuva e ocorreu só a retirada do monitor"
