Ponto,legacy_id,novo_moqa_id,Zona,Bairro
,DD56F0,MQN-JTÁ-96,Norte,Joaquim Távora
,EDA13C,MQN-JIR-95,Norte,Jardim Iracema
,DD34F0,MQN-CPA-97,Norte,Carlito Pamplona
,DD31EC,MQN-MUC-98,Norte,Mucuripe
,A5BBFC,MQN-CDP-99,Norte,Cais do Porto
,DC40AC,MQN-ALD-100,Norte,Aldeota / Praça Portugal
,DD2BA4,MQN-BMA-101,Norte,Beira Mar
,E4C790,MQN-CEN-102,Norte,Centro / Praça da Lagoinha
,DD3538,MQN-FAT-103,Norte,Bairro de Fátima
,E4D1F0,MQN-FBR-104,Norte,Farias Brito
,A70044,MQS-SIQ-105,Sul,Siqueira
,4R4KPE,MQS-ARA-106,Sul,Aracapé
,DDCA1C,MQS-JWA-107,Sul,José Walter
,RTY79H,MQS-ITA-108,Sul,Itaperi
,DD3468,MQS-PAS-109,Sul,Passaré
,DC663C,MQN-CEN-110,Norte,Centro / Paço Municipal
,DD32D4,MQN-SCS-111,Norte,SCSP
,M1SSJN,MQS-MES-112,Sul,Messejana
,P1C1BJ,MQN-PIC-113,Norte,Pici
,X3TYO5,MQV-COC-114,Áreas Verdes,Parque do Cocó
,AV1CD2,MQV-C2K-115,Áreas Verdes,CIDADE 2.000
,AG4F3T,MQV-AER-116,Áreas Verdes,Aerolândia / Rotatória
,DD2BDC,MQV-SJT-117,Áreas Verdes,São João do Tauape
,AV2MDB,MQV-MDB-118,Áreas Verdes,MANUEL DIAS BRANCO
,Z3S59I,MQV-COC-119,Áreas Verdes,Cocó
,H45UY3,MQV-DIO-120,Áreas Verdes,Dionísio Torres / Face de Cristo
,AV3EQZ,MQV-EQC-121,Áreas Verdes,EDSON QUEIROZ/CENTRO DE EVENTOS
,AV4STA,MQV-EQI-122,Áreas Verdes,EDSON QUEIROZ/IGUATEMI
,RWZ6K0,MQV-AER-123,Áreas Verdes,Aerolândia / Polo de lazer
,AV5CEC,MQV-EDQ-124,Áreas Verdes,EDSON QUEIROZ
,DCB604,MQS-SEU-125,Sul,SEUMA
